SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR447794		W64A		12	TRUE	18453715	152
SRR447795		W64A		13	TRUE	18542260	152
SRR447796		W64A		14	TRUE	18530880	152
SRR447797		NC358		1	TRUE	12167875	172
SRR447798		NC358		2	TRUE	15576250	172
SRR447799		HP301		1	TRUE	31424987	152
SRR447800		HP301		2	TRUE	17318371	168
SRR447801		CML96		1	TRUE	38888888	180
SRR447802		BKN019		1	TRUE	27968849	200
SRR447803		BKN019		2	TRUE	25075037	200
SRR447804		TDD39103		1	TRUE	30627096	200
SRR447805		TDD39103		2	TRUE	33902387	200
SRR447806		TDD39103		3	TRUE	32426186	200
SRR447807		TDD39103		4	TRUE	33044018	200
SRR447808		BKN022		1	TRUE	27567832	200
SRR447809		BKN022		2	TRUE	29916891	200
SRR447810		MO18W		1	TRUE	4051823	172
SRR447811		MO18W		2	TRUE	17947696	172
SRR447812		MO18W		3	TRUE	17173420	152
SRR447813		BKN029		1	TRUE	27741762	200
SRR447814		BKN029		2	TRUE	30262312	200
SRR447815		CML330		1	TRUE	38888888	180
SRR447816		TX303		1	TRUE	17777348	168
SRR447817		TX303		2	TRUE	21335706	250
SRR447818		TX303		3	TRUE	16968726	168
SRR447819		CML69		1	TRUE	18552317	168
SRR447820		CML69		2	TRUE	41613214	152
SRR447821		BKN025		1	TRUE	27972811	200
SRR447822		BKN025		2	TRUE	28580949	200
SRR447823		BKN035		1	TRUE	25482002	200
SRR447824		BKN035		2	TRUE	28736198	200
SRR447825		TIL10		1	TRUE	27997447	152
SRR447826		TIL10		2	TRUE	27685587	152
SRR447827		TIL06		1	TRUE	26582552	152
SRR447828		TIL06		2	TRUE	18172047	168
SRR447829		TIL06		3	TRUE	23074029	152
SRR447830		P1		1	TRUE	38888888	180
SRR447831		OH43		1	TRUE	13937175	152
SRR447832		OH43		2	TRUE	19214329	152
SRR447833		OH43		3	TRUE	15395801	152
SRR447834		OH43		4	FALSE	18256497	76
SRR447835		OH43		5	TRUE	19756105	152
SRR447836		OH43		6	TRUE	12943133	152
SRR447837		OH43		7	TRUE	20223822	152
SRR447838		OH43		8	TRUE	19859578	152
SRR447839		OH43		9	TRUE	19848675	152
SRR447840		OH43		10	TRUE	13354696	152
SRR447841		OH43		11	TRUE	11888024	152
SRR447842		OH43		12	TRUE	19547778	152
SRR447843		OH43		13	TRUE	11653886	152
SRR447844		OH43		14	TRUE	20104496	152
SRR447845		OH43		15	TRUE	8483329	152
SRR447846		OH43		16	TRUE	19744711	152
SRR447847		OH43		17	TRUE	15254534	152
SRR447848		BKN017		1	TRUE	28937399	200
SRR447849		BKN017		2	TRUE	26770015	200
SRR447850		TIL16		1	TRUE	18650588	152
SRR447851		TIL16		2	TRUE	12510351	152
SRR447852		TIL16		3	FALSE	18237383	76
SRR447853		M162W		1	TRUE	16249853	152
SRR447854		M162W		2	TRUE	8155370	172
SRR447855		M162W		3	TRUE	16118220	172
SRR447856		BKN031		1	TRUE	28544295	200
SRR447857		BKN031		2	TRUE	27566263	200
SRR447858		CML341		1	TRUE	38888888	180
SRR447859		TIL15		1	TRUE	40810508	152
SRR447860		TIL15		2	TRUE	40297059	152
SRR447861		CML99		1	TRUE	38888888	180
SRR447862		BKN026		1	TRUE	29603856	200
SRR447863		BKN026		2	TRUE	27188161	200
SRR447864		CAU5003		1	TRUE	10000000	88
SRR447865		CAU5003		2	TRUE	10000000	88
SRR447866		CAU5003		3	TRUE	4000698	150
SRR447867		CAU5003		4	TRUE	10000000	88
SRR447868		CAU5003		5	TRUE	9671988	138
SRR447869		CAU5003		6	TRUE	10000000	120
SRR447870		CAU5003		7	TRUE	10000000	88
SRR447871		CAU5003		8	TRUE	10000000	88
SRR447872		CAU5003		9	TRUE	10000000	99
SRR447873		CAU5003		10	TRUE	10000000	93
SRR447874		CAU5003		11	TRUE	10000000	88
SRR447875		CAU5003		12	TRUE	10000000	132
SRR447876		CAU5003		13	TRUE	10000000	132
SRR447877		KI3		1	TRUE	31426883	152
SRR447878		KI3		2	TRUE	33242977	152
SRR447879		CML103		1	TRUE	16794308	168
SRR447880		CML103		2	TRUE	19760716	172
SRR447881		VL05610		1	TRUE	38888888	180
SRR447882		TIL01		1	TRUE	16828353	168
SRR447883		TIL01		2	TRUE	21131721	250
SRR447884		BKN016		1	TRUE	27431855	200
SRR447885		BKN016		2	TRUE	28167209	200
SRR447886		TIL02		1	TRUE	16592819	168
SRR447887		CML192		1	TRUE	38888888	180
SRR447888		MS71		1	TRUE	26744221	152
SRR447889		MS71		2	TRUE	11328176	172
SRR447890		MS71		3	TRUE	16031881	172
SRR447891		KI11		1	TRUE	16658219	152
SRR447892		KI11		2	TRUE	10570465	152
SRR447893		KI11		3	FALSE	15947722	76
SRR447894		TIL03		1	TRUE	20677324	160
SRR447895		TIL03		2	TRUE	20293035	168
SRR447896		TIL17		1	TRUE	19356093	152
SRR447897		TIL17		2	FALSE	18436047	76
SRR447898		TIL17		3	TRUE	12112723	152
SRR447899		CML504		1	TRUE	38888888	180
SRR447900		BKN014		1	TRUE	29169236	200
SRR447901		BKN014		2	TRUE	28460789	200
SRR447902		BKN033		1	TRUE	29966920	200
SRR447903		BKN033		2	TRUE	25016058	200
SRR447904		W22		1	TRUE	30620626	152
SRR447905		W22		2	TRUE	30652462	152
SRR447906		TZI8		1	TRUE	13070620	152
SRR447907		TZI8		2	TRUE	10237404	152
SRR447908		TZI8		3	FALSE	12541409	76
SRR447909		TIL11		1	TRUE	28636327	152
SRR447910		CAUCHANG72		1	TRUE	10000000	98
SRR447911		CAUCHANG72		2	TRUE	10000000	150
SRR447912		CAUCHANG72		3	TRUE	10000000	150
SRR447913		CAUCHANG72		4	TRUE	10000000	101
SRR447914		CAUCHANG72		5	TRUE	10000000	150
SRR447915		CAUCHANG72		6	TRUE	10000000	150
SRR447916		CAUCHANG72		7	TRUE	3853147	150
SRR447917		CAUCHANG72		8	TRUE	2561933	150
SRR447918		CAUCHANG72		9	TRUE	10000000	150
SRR447919		CAUCHANG72		10	TRUE	10000000	150
SRR447920		CAUCHANG72		11	TRUE	10000000	150
SRR447921		CML84		1	TRUE	38888888	180
SRR447922		M37W		1	TRUE	18872131	152
SRR447923		M37W		2	TRUE	5045023	172
SRR447924		M37W		3	TRUE	14685650	172
SRR447925		CML479		1	TRUE	38888888	180
SRR447926		P39		1	FALSE	16969851	84
SRR447927		P39		2	TRUE	12216049	172
SRR447928		P39		3	TRUE	16139719	168
SRR447929		P39		4	TRUE	18093356	168
SRR447930		BKN034		1	TRUE	24111525	200
SRR447931		BKN034		2	TRUE	29282046	200
SRR447932		CML411		1	TRUE	38888888	180
SRR447933		TIL08		1	TRUE	34109646	152
SRR447934		TIL08		2	TRUE	27654807	152
SRR447935		CML505		1	TRUE	38888888	180
SRR447936		TIL25		1	TRUE	29130991	200
