SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR4448280		1789b177f20c	TSCA_Harlee_TSU	1	TRUE	1974253	150
SRR4448281		175ac5ff49bf	TSCA_Dark_Desire	1	TRUE	941779	150
SRR4448282		38cf106623a9	TSCA_Laughing_Buddha	1	TRUE	1166946	150
SRR4448283		371fde3aed14	TSCA_Cotton_Candy_Kush	1	TRUE	1127657	150
SRR4448284		384648c5a34a	TSCA_Maui_Wowie	1	TRUE	1001638	150
SRR4448285		2bc6897285bf	TSCA_Vintner's_Moonshine	1	TRUE	651754	150
SRR4448286		2b2c0ca899c0	TSCA_Cherry_Kush	1	TRUE	1112753	150
SRR4448287		341dda45b3a2	TSCA_Blue_Dragon	1	TRUE	1239022	151
SRR4448288		351fd878a24f	TSCA_Fuku_#4	1	TRUE	837606	150
SRR4448289		33ce66bd3cdb	TSCA_Court_Collars_Cough	1	TRUE	994185	150
SRR4448290		340f23e5f0c3	TSCA_Humboldt_OG	1	TRUE	860341	150
SRR4448291		2a55fdf1a6a6	TSCA_Berry_White	1	TRUE	2644352	150
SRR4448292		36fc5e6471c0	TSCA_VL	1	TRUE	958641	150
SRR4448293		3555c5355106	TSCA_The_Grapes	1	TRUE	1250756	150
SRR4448294		35b4749f7f16	TSCA_Dream_Queen	1	TRUE	3481210	150
SRR4448295		385f461ce603	TSCA_Jesus_OG	1	TRUE	1124218	150
SRR4448296		3b3ff3ad6e6e	TSCA_Sugar_Black_Rose	1	TRUE	918295	150
SRR4448297		3adc994841df	TSCA_Malawi_x_Super_Skunk	1	TRUE	688560	150
SRR4448298		2503ef0f05df	TSCA_Purple_Cadillac	1	TRUE	2224311	150
SRR4448299		25203f2955f1	TSCA_Larry's_Dream	1	TRUE	2449252	150
SRR4448300		1bb74af6e1f7	TSCA_Black_Water	1	TRUE	1477735	150
SRR4448301		1c305d657372	TSCA_Chocolate_Hashberry	1	TRUE	789460	150
SRR4448302		199d08238464	TSCA_Rose_City_Cin	1	TRUE	3662373	150
SRR4448303		1a12d2dd9856	TSCA_G.S.C.	1	TRUE	698190	150
SRR4448304		18ac39535eaa	TSCA_Remedy	1	TRUE	695331	150
SRR4448305		1922097087e8	TSCA_Trinity_Blueberry	1	TRUE	1421796	150
SRR4448306		1acd0dd0eaf7	TSCA_God_Bud	1	TRUE	680154	150
SRR4448307		1ba7809681f8	TSCA_God's_Gift	1	TRUE	1050102	150
SRR4448308		1a30dd173f72	TSCA_Banana_OG	1	TRUE	678994	150
SRR4448309		1a59a39b032a	TSCA_Girl_Scout_Cookie	1	TRUE	1036252	151
SRR4448310		3026d657f3fc	TSCA_LA_Confidential	1	TRUE	571115	150
