sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4448508	6399814	507324	568	154	0
SRR4448509	1619542	55128	120	70	0
SRR4448510	40664688	2469484	20416	624	0
SRR4448511	2233728	95252	140	418	0
SRR4448512	6545558	510928	588	56	0
SRR4448513	1036824	46464	34	36	0
SRR4448514	1790246	78914	78	212	0
SRR4448515	5191610	435006	434	1270	0
SRR4448516	1095390	50606	72	24	0
SRR4448517	2104644	97308	1182	112	0
SRR4448518	2035410	87016	112	78	0
SRR4448519	1886862	82508	1040	1154	0
SRR4448520	3704264	197972	932	100	0
SRR4448521	2532786	102426	1318	3584	0
SRR4448522	1353542	62790	714	44	0
SRR4448523	1285552	49444	678	46	0
SRR4448524	2158942	87568	432	196	0
SRR4448525	1425308	62478	72	8	0
SRR4448526	1230054	49038	86	26	0
SRR4448527	1784132	78060	116	22	0
SRR4448528	724046	32542	18	418	0
SRR4448529	1650212	71672	70	10	0
SRR4448530	1017852	44402	544	244	0
SRR4448531	2119476	85814	350	304	0
SRR4448532	1761434	65538	330	50	0
SRR4448533	1217828	47178	688	910	0
SRR4448534	2523348	109260	484	138	0
SRR4448535	2788836	137434	690	44	0
SRR4448536	1080936	49238	12	168	0
SRR4448537	1476824	66480	864	28	0
SRR4448550	2050780	84348	126	104	0
SRR4448551	7457752	644774	670	2166	0
SRR4448552	1773120	84702	916	24	0
SRR4448553	2458478	109312	622	72	0
SRR4448554	1839166	83324	126	4	0
SRR4448555	4210932	177942	62	244	0
SRR4448556	1965172	81164	468	1596	0
SRR4448557	1480328	71996	880	50	0
SRR4448558	1797516	64080	342	132	0
SRR4448559	3316712	139096	650	206	0
SRR4448560	1732094	68948	348	192	0
SRR4448561	3304806	147380	642	0	0
SRR4448562	3619870	160756	714	0	0
SRR4448563	3762486	151350	726	0	0
SRR4448564	3978602	187464	840	0	0
SRR4448565	3570174	165322	708	0	0
SRR4448566	2866616	127314	774	0	0
SRR4448567	2917010	137180	588	0	0
SRR4448568	3076310	140248	584	0	0
SRR4448569	3625046	185994	750	0	0
SRR4448570	5045106	260614	1054	0	0
SRR4448571	3919458	177304	814	158	0
SRR4448572	2311794	82794	188	1954	0
SRR4448573	2190864	92838	1158	160	0
SRR4448574	1800838	90150	396	14	0
SRR4448575	2114652	84434	114	8	0
SRR4448576	2318274	87086	412	76	0
SRR4448577	2727792	133084	634	90	0
SRR4448578	2847940	130146	702	36	0
SRR4448579	2019394	71290	126	94	0
SRR4448580	1075398	37410	562	588	0
SRR4448581	1315484	62128	882	0	0
SRR4448582	165368	9406	390	0	0
SRR4448583	2363178	108972	588	0	0
SRR4448584	1203304	58218	714	0	0
SRR4448585	6022728	316366	2666	0	0
SRR4448586	1445960	69280	1200	0	0
SRR4448587	905094	42018	492	0	0
SRR4448588	4368576	228144	2254	0	0
SRR4448589	3662288	175660	802	0	0
SRR4448590	6516630	312600	1394	0	0
SRR4448591	1726860	82144	426	10	0
SRR4448592	4506158	208136	950	0	0
SRR4448593	3631104	166258	718	0	0
SRR4448594	4050746	176082	848	0	0
SRR4448595	2852354	125568	770	0	0
SRR4448596	336714	13316	78	0	0
SRR4448597	4324246	203588	962	0	0
SRR4448598	3078750	138994	564	0	0
SRR4448599	4157748	202218	896	0	0
SRR4448600	2686866	146242	566	0	0
SRR4448601	3776140	185766	716	0	0
SRR4448602	1767582	76680	82	182	0
SRR4448603	3801190	192186	862	0	0
SRR4448604	5078448	246940	1050	0	0
SRR4448605	4969628	232546	1106	0	0
SRR4448606	4566090	225206	928	0	0
SRR4448607	3784618	167576	720	0	0
SRR4448608	5405658	261958	1108	0	0
SRR4448609	5079314	226056	1034	0	0
SRR4448610	4597752	206290	1036	0	0
SRR4448611	3395960	149976	158	88	0
SRR4448612	6947062	563060	576	224	0
SRR4448613	1312968	68092	300	14	0
SRR4448614	5524866	276378	2008	0	0
SRR4448615	3429306	198850	824	0	0
SRR4448616	2300464	81756	180	16	0
SRR4448617	1009286	37872	54	66	0
SRR4448618	3789724	171210	646	0	0
SRR4448619	5314608	214352	340	0	0
SRR4448620	1699742	69130	64	0	0
SRR4448621	1834366	76012	88	0	0
SRR4448622	3223798	145250	254	0	0
SRR4448623	3923530	176992	100	0	0
SRR4448624	4424518	230518	2478	0	0
SRR4448625	3807958	166494	874	0	0
SRR4448626	4056850	193016	810	0	0
SRR4448627	3712266	124546	768	0	0
SRR4448628	2850008	120024	1332	0	0
SRR4448629	5309094	227418	882	0	0
SRR4448630	3066116	128744	102	0	0
SRR4448631	2456472	109940	302	0	0
SRR4448632	2216560	101984	1540	0	0
SRR4448633	4047814	161704	216	0	0
SRR4448634	8169414	685562	770	64	0
SRR4448635	3031322	127358	54	1786	0
SRR4448636	2158952	93718	1096	252	0
SRR4448637	2612486	123886	136	28	0
SRR4448638	1586668	69024	810	622	0
SRR4448639	2146928	90902	90	216	0
SRR4448640	1654584	71346	80	102	0
SRR4448641	3319736	155226	62	2982	0
SRR4448642	2011180	80694	342	722	0
SRR4448643	1661570	71998	72	8	0
SRR4448644	1884078	84184	1104	148	0
SRR4448645	2016920	76488	336	212	0
SRR4448646	1915366	75722	118	6	0
SRR4448647	2550648	95154	522	888	0
SRR4448648	1116532	35164	36	1382	0
SRR4448649	1786106	88860	400	396	0
SRR4448650	3457104	146116	1834	284	0
SRR4448651	1285966	67708	304	144	0
SRR4448652	3394398	159276	850	752	0
SRR4448653	1430158	62920	24	6	0
SRR4448654	2871746	133542	130	100	0
SRR4448655	252514	8460	4	12814	0
SRR4448656	1776518	87700	924	42	0
SRR4448657	1674654	74960	28	44	0
SRR4448658	976858	39684	14	150	0
SRR4448659	2126302	85286	68	18	0
SRR4448660	1581110	62516	40	64	0
SRR4448661	1842340	64152	144	38	0
SRR4448662	2015454	82866	1072	474	0
SRR4448663	2273928	82060	148	8	0
SRR4448664	1080132	43838	198	676	0
SRR4448665	2772318	125586	136	62	0
SRR4448666	1275866	46664	250	242	0
SRR4448667	6716254	517460	634	4642	0
SRR4448668	2162250	81172	396	254	0
SRR4448669	1394016	64538	74	10	0
SRR4448670	4496248	211644	1082	526	0
SRR4448671	2115262	84968	454	224	0
SRR4448672	1914866	87556	90	46	0
SRR4448673	5834276	270572	1308	0	0
SRR4448674	4468386	213086	962	0	0
SRR4448675	3092860	176912	1084	0	0
SRR4448676	1877954	96208	990	0	0
SRR4448677	3280180	127504	622	0	0
SRR4448678	3047274	137192	998	0	0
SRR4448679	3188942	157954	784	0	0
SRR4448680	183338	10810	42	0	0
SRR4448681	2425992	84712	180	48	0
SRR4448682	2710444	105768	526	372	0
SRR4448683	1747612	66930	326	42	0
SRR4448684	3185812	129850	218	54	0
SRR4448685	1263948	44154	258	298	0
SRR4448686	2563578	100872	478	82	0
SRR4448687	3361296	163962	678	0	0
SRR4448688	4796406	189764	960	0	0
SRR4448689	2215104	96516	406	78	0
SRR4448690	2734768	113196	56	34	0
SRR4448691	1042360	44550	12	378	0
SRR4448692	42412094	2834570	21082	230	0
SRR4448693	2130964	79284	390	210	0
SRR4448694	2395010	102422	1302	78	0
SRR4448695	2084152	108108	480	36	0
SRR4448696	1486488	62876	262	66	0
SRR4448697	2176554	98890	104	164	0
SRR4448698	3057820	125930	58	76	0
SRR4448699	1997938	83314	382	84	0
SRR4448700	2108530	74982	144	22	0
SRR4448701	1481610	72940	876	0	0
SRR4448702	497640	21006	1464	0	0
SRR4448703	4463022	239804	962	0	0
SRR4448704	3543786	155620	2148	0	0
SRR4448705	3354574	128698	680	0	0
SRR4448706	2772332	130902	590	0	0
SRR4448707	1163804	61000	922	0	0
SRR4448708	4923088	260810	1124	0	0
SRR4448709	3830038	207466	880	0	0
SRR4448710	1214218	55766	948	0	0
SRR4448711	2064554	80274	162	6	0
SRR4448712	991516	43594	566	588	0
SRR4448713	1962278	70884	130	18	0
SRR4448714	1542318	66788	74	200	0
SRR4448715	2274884	97562	1212	186	0
SRR4448716	1597952	72204	92	98	0
SRR4448717	2080944	104310	544	94	0
SRR4448718	3092960	145700	170	16	0
SRR4448719	1918196	81328	318	58	0
SRR4448720	3043770	133568	152	24	0
SRR4448721	1646960	66294	88	76	0
SRR4448722	667758	26054	332	1510	0
SRR4448723	6165766	282840	1492	558	0
SRR4448724	4025130	188110	908	0	0
SRR4448725	5119016	246628	1104	0	0
SRR4448726	3580974	129362	794	0	0
SRR4448727	3130946	118418	662	0	0
SRR4448728	3592576	175742	652	0	0
SRR4448729	3327342	153522	774	0	0
SRR4448730	3144048	163354	656	0	0
SRR4448731	3626760	192318	748	0	0
SRR4448732	5073496	251380	1054	0	0
SRR4448733	4603526	224784	972	0	0
SRR4448734	2533512	117862	1346	202	0
SRR4448735	2546396	90588	160	24	0
SRR4448736	2832538	125812	142	48	0
SRR4448737	1919318	63942	134	10	0
SRR4448738	3676370	170192	906	216	0
SRR4448739	6604696	531378	564	56	0
SRR4448740	1650680	60704	312	676	0
SRR4448741	2003840	74226	134	190	0
SRR4448742	1330336	56758	22	184	0
SRR4448743	2213210	98934	1248	62	0
SRR4448744	21547080	1377576	8358	1140	0
SRR4448745	14826636	923030	5694	5624	0
SRR4448746	19396464	1262860	7426	434	0
SRR4448747	7279410	259428	1584	5396	0
SRR4448748	19674364	697564	4434	1072	0
SRR4448749	5697748	210378	1420	21622	0
SRR4448750	2626490	88850	554	53192	0
SRR4448751	3715538	146518	858	13344	0
SRR4448752	1978892	96532	92	36	0
SRR4448753	1960338	82906	102	26	0
SRR4448754	3011216	112194	674	12158	0
SRR4448755	1047042	43506	252	6268	0
SRR4448756	2080970	95158	112	18	0
SRR4448757	1334588	47880	84	68	0
SRR4448758	1552020	67358	76	24	0
SRR4448759	2383952	99322	116	8	0
SRR4448760	2408468	101966	122	28	0
SRR4448761	1430938	63894	64	34	0
SRR4448762	1895310	80512	86	42	0
SRR4448763	1679662	79422	66	10	0
SRR4448764	702730	36478	30	444	0
SRR4448765	162800	8384	14	864	0
SRR4448766	2615492	110952	104	132	0
SRR4448767	419042	19674	22	1376	0
SRR4448768	1395780	57118	78	824	0
SRR4448769	1259268	63428	80	258	0
SRR4448770	2786184	131422	112	178	0
SRR4448771	2289298	98148	118	148	0
SRR4448772	1688260	75302	70	56	0
SRR4448773	12556732	800340	4722	6090	0
SRR4448774	1445666	62384	60	780	0
SRR4448775	1459626	62408	66	124	0
SRR4448776	1508374	60734	70	36	0
SRR4448777	1600478	78418	94	440	0
